id,score,created_at,updated_at,user_id,seen_live,event_id
722,0,2015-06-26 17:18:20.232009,2015-06-26 17:18:20.232009,27,,
723,0,2015-06-26 18:55:02.252157,2015-06-26 18:55:02.252157,15,,
724,0,2015-06-26 18:55:38.273475,2015-06-26 18:55:38.273475,27,,
725,4,2015-06-26 19:11:18.000539,2015-06-26 19:17:08.908052,15,,147
726,0,2015-06-26 19:17:09.13706,2015-06-26 19:17:09.13706,15,,
728,0,2015-06-29 02:35:27.687697,2015-06-29 02:35:27.687697,15,,
727,3,2015-06-29 02:21:37.634643,2015-06-29 02:35:27.508296,15,,148
729,0,2015-06-29 02:36:23.784509,2015-06-29 02:36:23.784509,15,,
730,0,2015-06-29 02:37:03.265475,2015-06-29 02:37:03.265475,15,,
806,0,2015-07-10 21:58:14.576987,2015-07-10 21:58:14.576987,15,,
731,3,2015-06-29 13:17:24.025496,2015-06-29 13:31:37.813469,15,,149
732,0,2015-06-29 13:31:37.935834,2015-06-29 13:31:37.935834,15,,
733,0,2015-06-29 13:31:51.574582,2015-06-29 13:31:51.574582,15,,
734,0,2015-06-29 13:31:56.865426,2015-06-29 13:31:56.865426,15,,
735,4,2015-06-29 13:32:44.496574,2015-06-29 13:41:11.209603,15,,150
736,0,2015-06-29 13:41:11.57668,2015-06-29 13:41:11.57668,15,,
737,0,2015-06-29 13:41:25.381545,2015-06-29 13:41:25.381545,15,,
738,0,2015-06-29 13:41:45.072577,2015-06-29 13:41:45.072577,15,,
739,5,2015-06-29 16:34:32.480067,2015-06-29 16:54:43.623883,15,,151
740,0,2015-06-29 16:54:44.7691,2015-06-29 16:54:44.7691,15,,
741,0,2015-06-29 17:05:38.681963,2015-06-29 17:05:38.681963,15,,
742,0,2015-06-29 17:12:24.911004,2015-06-29 17:12:24.911004,15,,
743,0,2015-06-29 18:19:51.848612,2015-06-29 18:19:51.848612,15,,
744,0,2015-06-29 21:28:40.269182,2015-06-29 21:28:40.269182,15,,
745,0,2015-06-29 21:28:49.548642,2015-06-29 21:28:49.548642,15,,
746,0,2015-06-29 21:29:04.082313,2015-06-29 21:29:04.082313,15,,
747,0,2015-06-29 21:29:14.044958,2015-06-29 21:29:14.044958,15,,
807,5,2015-07-12 17:40:54.014214,2015-07-12 18:02:07.536466,15,,159
749,0,2015-06-29 21:33:48.982029,2015-06-29 21:33:48.982029,15,,
750,0,2015-06-29 21:39:55.318089,2015-06-29 21:39:55.318089,15,,
751,0,2015-06-29 21:40:01.906483,2015-06-29 21:40:01.906483,15,,
752,0,2015-06-29 21:40:54.687188,2015-06-29 21:40:54.687188,15,,
753,0,2015-06-29 21:41:03.644163,2015-06-29 21:41:03.644163,15,,
748,4,2015-06-29 21:31:05.977398,2015-06-29 22:19:34.195683,15,,152
754,0,2015-06-29 22:19:34.371934,2015-06-29 22:19:34.371934,15,,
755,0,2015-06-30 18:34:13.445252,2015-06-30 18:34:13.445252,15,,
756,0,2015-07-01 02:32:42.644766,2015-07-01 02:32:42.644766,15,,
757,0,2015-07-01 14:21:35.613328,2015-07-01 14:21:35.613328,15,,
808,0,2015-07-12 18:02:07.737852,2015-07-12 18:02:07.737852,15,,
758,4,2015-07-01 14:21:47.647178,2015-07-01 18:48:48.294503,15,,153
759,0,2015-07-01 18:48:48.593551,2015-07-01 18:48:48.593551,15,,
760,0,2015-07-01 19:04:57.401073,2015-07-01 19:04:57.401073,15,,
761,0,2015-07-01 20:19:28.638105,2015-07-01 20:19:28.638105,15,,
762,0,2015-07-01 21:04:29.28311,2015-07-01 21:04:29.28311,15,,
763,0,2015-07-01 21:04:36.228323,2015-07-01 21:04:36.228323,15,,
764,0,2015-07-01 23:40:05.256177,2015-07-01 23:40:05.256177,15,,
765,0,2015-07-01 23:40:08.249098,2015-07-01 23:40:08.249098,15,,
809,0,2015-07-13 01:06:48.861695,2015-07-13 01:06:48.861695,15,,
766,5,2015-07-06 14:21:02.391153,2015-07-06 14:55:46.393817,15,,154
767,0,2015-07-06 14:55:46.521573,2015-07-06 14:55:46.521573,15,,
768,0,2015-07-06 14:56:13.201602,2015-07-06 14:56:13.201602,15,,
769,0,2015-07-06 16:52:56.355701,2015-07-06 16:52:56.355701,15,,
770,0,2015-07-06 17:01:51.091494,2015-07-06 17:01:51.091494,15,,
771,0,2015-07-06 17:08:19.286432,2015-07-06 17:08:19.286432,15,,
772,0,2015-07-06 17:09:32.268554,2015-07-06 17:09:32.268554,15,,
773,0,2015-07-06 17:09:34.773092,2015-07-06 17:09:34.773092,15,,
774,5,2015-07-06 23:53:05.211574,2015-07-06 23:59:39.540783,15,,155
775,0,2015-07-06 23:59:39.690568,2015-07-06 23:59:39.690568,15,,
776,0,2015-07-06 23:59:58.391255,2015-07-06 23:59:58.391255,15,,
777,0,2015-07-07 00:00:45.462156,2015-07-07 00:00:45.462156,15,,
778,0,2015-07-07 00:01:31.088545,2015-07-07 00:01:31.088545,15,,
779,0,2015-07-07 00:02:06.100575,2015-07-07 00:02:06.100575,15,,
811,0,2015-07-13 19:25:31.308589,2015-07-13 19:25:31.308589,29,,
810,3,2015-07-13 19:22:37.442493,2015-07-13 19:28:53.754584,29,,
780,3,2015-07-07 00:03:24.916595,2015-07-07 00:13:42.245749,15,,156
781,0,2015-07-07 00:13:42.747684,2015-07-07 00:13:42.747684,15,,
782,0,2015-07-07 00:14:26.474089,2015-07-07 00:14:26.474089,15,,
783,0,2015-07-07 00:14:48.622445,2015-07-07 00:14:48.622445,15,,
784,0,2015-07-07 13:52:20.743076,2015-07-07 13:52:20.743076,15,,
785,0,2015-07-07 13:55:12.989275,2015-07-07 13:55:12.989275,15,,
786,0,2015-07-07 14:00:51.098672,2015-07-07 14:00:51.098672,15,,
787,0,2015-07-07 14:03:14.909166,2015-07-07 14:03:14.909166,15,,
788,0,2015-07-07 14:15:31.413683,2015-07-07 14:15:31.413683,15,,
789,0,2015-07-07 14:15:44.499411,2015-07-07 14:15:44.499411,15,,
790,0,2015-07-07 14:18:00.733231,2015-07-07 14:18:00.733231,15,,
791,0,2015-07-07 16:27:55.472456,2015-07-07 16:27:55.472456,15,,
792,0,2015-07-07 16:32:53.242255,2015-07-07 16:32:53.242255,15,,
793,0,2015-07-07 19:47:56.643458,2015-07-07 19:47:56.643458,27,,
794,0,2015-07-08 13:24:12.173128,2015-07-08 13:24:12.173128,15,,
795,0,2015-07-08 13:29:35.448031,2015-07-08 13:29:35.448031,15,,
796,0,2015-07-08 13:29:35.646619,2015-07-08 13:29:35.646619,15,,
797,0,2015-07-08 13:32:37.893105,2015-07-08 13:32:37.893105,15,,
798,4,2015-07-08 13:33:43.617996,2015-07-08 13:33:56.492181,15,,
799,5,2015-07-10 13:32:47.348283,2015-07-10 13:44:51.87859,15,,157
800,0,2015-07-10 13:44:53.209154,2015-07-10 13:44:53.209154,15,,
823,5,2015-07-14 21:00:40.004789,2015-07-14 21:00:56.389678,15,,
801,4,2015-07-10 13:45:03.505349,2015-07-10 13:50:26.607179,15,,158
802,0,2015-07-10 13:50:26.740335,2015-07-10 13:50:26.740335,15,,
803,0,2015-07-10 14:04:31.563304,2015-07-10 14:04:31.563304,15,,
804,0,2015-07-10 14:27:54.032688,2015-07-10 14:27:54.032688,15,,
805,0,2015-07-10 14:37:23.901578,2015-07-10 14:37:23.901578,29,,
812,3,2015-07-13 19:33:24.970143,2015-07-13 19:46:24.772695,29,,160
813,0,2015-07-13 19:46:28.864348,2015-07-13 19:46:28.864348,29,,
814,0,2015-07-13 19:54:00.295308,2015-07-13 19:54:00.295308,15,,
815,0,2015-07-13 19:56:43.010558,2015-07-13 19:56:43.010558,15,,
816,0,2015-07-14 19:32:27.138405,2015-07-14 19:32:27.138405,15,,
817,0,2015-07-14 19:34:00.314462,2015-07-14 19:34:00.314462,15,,
818,0,2015-07-14 19:36:11.008453,2015-07-14 19:36:11.008453,15,,
819,0,2015-07-14 19:49:57.414067,2015-07-14 19:49:57.414067,15,,
820,0,2015-07-14 19:57:39.469201,2015-07-14 19:57:39.469201,15,,
