id,name,date,time,description,dj_id,venue_id,created_at,updated_at,promoter_id,festival_id,photo_file_name,photo_content_type,photo_file_size,photo_updated_at
117,,,,,,302,2015-06-17 20:43:49.837112,2015-06-17 20:43:49.837112,,,,,,
139,,2015-06-17,,,,1672,2015-06-18 15:53:08.617816,2015-06-18 15:53:08.617816,,,,,,
140,,2015-06-14,,,1760,,2015-06-18 19:32:17.319794,2015-06-18 19:32:17.319794,24,,,,,
141,,2015-06-19,,,1761,1643,2015-06-21 17:30:34.457542,2015-06-21 21:52:28.570356,35,,20150620_005924.jpg,image/jpeg,1004964,2015-06-21 21:52:27.206531
142,,2015-06-20,,,1763,,2015-06-22 12:22:19.926772,2015-06-22 12:40:12.722213,47,,IMG_2144.jpg,image/jpeg,23436,2015-06-22 12:22:19.126863
143,,2015-06-20,,,,2015,2015-06-22 13:06:33.279725,2015-06-22 13:06:33.279725,,,,,,
97,,2015-03-27,,,519,,2015-05-29 20:02:02.806484,2015-06-24 14:11:18.52571,3,,18681_10101720563783187_8752840145740742164_n.jpg,image/jpeg,62955,2015-06-24 14:11:11.745893
145,,2015-06-23,,,,2023,2015-06-26 17:05:35.438675,2015-06-26 17:05:35.438675,,,,,,
146,,2015-06-25,,,,1746,2015-06-26 17:10:10.995927,2015-06-26 17:10:10.995927,,,,,,
148,,2015-06-26,,,1767,2027,2015-06-29 02:35:25.162256,2015-06-29 02:36:20.688404,,,20150627_002201.jpg,image/jpeg,950329,2015-06-29 02:35:23.3085
149,,2015-06-26,,,,2026,2015-06-29 13:31:37.793197,2015-06-29 13:31:37.793197,,,,,,
150,,2015-06-27,,,1768,1514,2015-06-29 13:41:10.856566,2015-06-29 13:41:10.856566,,,20150628_004222.jpg,image/jpeg,844727,2015-06-29 13:41:08.938982
147,,2015-06-25,,,1766,1783,2015-06-26 19:17:08.167217,2015-08-31 15:23:54.590419,,,,image/jpeg,,2015-06-26 19:17:06.470252
151,,2015-06-27,,,571,1952,2015-06-29 16:54:43.022466,2015-06-29 19:02:00.885837,1,,20150627_165940.jpg,image/jpeg,1191286,2015-06-29 16:54:39.885329
152,,2015-06-24,,,,2023,2015-06-29 22:19:34.173735,2015-06-29 22:19:34.173735,,,,,,
