id,name,created_at,updated_at,slug,image_url,rated_at,link,fbpage_id,about,fb_photo
54,Food Stamps,2015-07-01 23:02:22.490297,2015-07-01 23:02:50.420521,food-stamps,,2015-07-01 18:48:47.224886,,,,
56,KOLEKTi,2015-07-22 20:16:44.667998,2015-07-22 20:16:44.667998,kolekti,,2015-01-22 20:16:44.715787,,,,
55,Verboten/Stage One,2015-07-07 00:03:16.146055,2015-08-24 16:10:43.018915,verboten-stage-one,,2015-08-24 16:10:42.975567,,,,
57,Que Bajo,2015-08-24 19:21:21.136227,2015-08-26 21:42:25.722567,que-bajo,,2015-08-24 19:25:52.758484,,,,
22,Ebb + Flow,2015-05-05 21:05:35.986028,2015-08-28 17:35:10.672465,ebb-+-flow,,2014-12-12 19:08:13.540085,https://www.facebook.com/ebbandflowmusic,162494257287669,"Our vision is to create gatherings and events dedicated to our love of dance music, art, culture, self-expression and our community. ",https://scontent.xx.fbcdn.net/hphotos-xtp1/v/t1.0-9/s720x720/11889462_406583896212036_2707658508199798487_n.jpg?oh=c847bd36de1081fd80d43baa73e0a574&oe=56749453
23,Babel,2015-05-05 21:06:11.396381,2015-08-28 17:35:10.936929,babel,,2014-12-12 19:08:13.546559,https://www.facebook.com/BabelNewYork,167034936812020,"A community made out of different tribes and cultures, willing to gather and unite around Music, Arts, and pursuit of Magic.",https://scontent.xx.fbcdn.net/hphotos-xlf1/v/t1.0-9/s720x720/11951172_496274110554766_5486281079501927158_n.jpg?oh=cfedc1b162058c04d4a2b38f9521d64b&oe=56390453
34,Homebrew,2015-05-28 21:27:27.011476,2015-08-28 17:35:11.219744,homebrew,,2014-12-12 19:08:13.607614,https://www.facebook.com/homebrewtalk,187611395017,"We are the largest homebrewing forum on the Internet. Recipes, reviews, articles, classifieds, videos, and more. Uniting homebrewers since 2004.",https://scontent.xx.fbcdn.net/hphotos-xpt1/v/t1.0-9/11891094_10155853729620018_5056470349808158307_n.jpg?oh=43fd99280454c208de26b810c1202218&oe=5673A010
40,BrunchBounce,2015-06-04 16:38:19.292016,2015-08-28 17:35:11.469251,brunchbounce,,2014-12-12 19:08:13.659803,https://www.facebook.com/Brunchbounce,508166199259685,"Good music, good people, good vibes. FUN.",https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/p240x240/11796233_867729573303344_1083436190639398369_n.jpg?oh=6d4ac7b0f5d5397b61ca4ea9575e3840&oe=5679813F
41,The Junxion,2015-06-04 16:38:42.813709,2015-08-28 17:35:11.718021,the-junxion,,2014-12-12 19:08:13.666025,https://www.facebook.com/junxionnyc,586062078096121,"We are a mobile venue forming like Voltron at the cross roads of art music and culture. Buses, art cars, mobile bars, food trucks  vendors, art and music. ",https://scontent.xx.fbcdn.net/hphotos-xta1/t31.0-8/p180x540/11270388_843229845712675_6146345206567212109_o.jpg
43,Playdate,2015-06-04 17:48:41.22118,2015-08-28 17:35:14.404427,playdate,,2015-07-22 20:58:01.115735,https://www.facebook.com/PlaydateNewYork,382239791876877,"Playdate is a new, curated experience of sound and art, made by a collective of artists, musicians, and friends to bring quality electronic music to NYC.",https://scontent.xx.fbcdn.net/hphotos-xpt1/t31.0-8/s720x720/11802581_681066065327580_8539978075299860855_o.png
58,RPM Presents,2015-09-14 20:20:47.80138,2015-09-21 13:26:33.02397,rpm-presents,,2015-09-15 01:21:57.075428,https://www.facebook.com/rpmpresents,121780264502280,"RPM is the world's premier dance music focused marketing and management group; founded and operated by Pacha NYC owner Eddie Dean and promotional director Rob Fernandez. In the last year alone, their team has produced over 200 events in and around New York City, most recently including Electric Daisy Carnival at Citi Field.",https://scontent.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/s720x720/12003222_1177925075554455_1903329089960105242_n.jpg?oh=8528e04611b741e530f716246dc5abc2&oe=56654843
